,company,mcap,sector,change
0,RELIANCE.NS,17178847870976.0,Energy,4.142739950779327
1,TCS.NS,14678385229824.0,Technology,2.27586118020027
2,HDFCBANK.NS,8563839729664.0,Financial Services,-0.8979251515248693
3,INFY.NS,8084882718720.0,Technology,4.246926921518298
4,HINDUNILVR.NS,5556656930816.0,Consumer Defensive,-1.8009596809372619
5,ICICIBANK.NS,5693235527680.0,Financial Services,1.1409189022510022
6,HDFC.NS,4912273948672.0,Financial Services,1.9852236196491917
7,BAJFINANCE.NS,4729239240704.0,Financial Services,1.3050845265349893
8,SBIN.NS,4536825544704.0,Financial Services,0.9331877295741181
9,WIPRO.NS,3495758397440.0,Technology,-7.743330930064895
10,BHARTIARTL.NS,4237812301824.0,Communication Services,2.220015603943539
11,HCLTECH.NS,3628719144960.0,Technology,3.81181585280647
12,KOTAKBANK.NS,3845195038720.0,Financial Services,-0.5005261942041633
13,ASIANPAINT.NS,3227125809152.0,Basic Materials,-5.321514000281411
14,DMART.NS,2800137011200.0,Consumer Defensive,-6.708679090546133
15,ITC.NS,2743010852864.0,Consumer Defensive,-0.31347962382445904
16,LT.NS,2872546426880.0,Industrials,4.692540064512831
17,BAJAJFINSV.NS,2897836769280.0,Financial Services,2.308582601074238
18,MARUTI.NS,2442075308032.0,Consumer Cyclical,-0.5095008368612847
19,TITAN.NS,2301807034368.0,Consumer Cyclical,-2.436500470366886
20,ULTRACEMCO.NS,2230982017024.0,Basic Materials,0.1333272333945482
21,AXISBANK.NS,2213930336256.0,Financial Services,-2.840603123317166
22,ADANIGREEN.NS,2655610732544.0,Utilities,18.003335881576202
23,SUNPHARMA.NS,2090533650432.0,Healthcare,3.997822668440783
24,ADANITRANS.NS,2230196895744.0,Utilities,11.040281365060167
25,ATGL.NS,1986091941888.0,Utilities,2.410185158930445
26,ADANIENT.NS,2056919711744.0,Energy,6.712883715622509
27,ONGC.NS,2026057367552.0,Energy,1.7050836754026
28,TECHM.NS,1686926131200.0,Technology,1.2674825174825175
29,TATAMOTORS.NS,1824172277760.0,Consumer Cyclical,1.2308914036132597
30,JSWSTEEL.NS,1643627544576.0,Basic Materials,1.5771462579973252
31,POWERGRID.NS,1449149726720.0,Utilities,1.838235294117647
32,TATASTEEL.NS,1507036233728.0,Basic Materials,3.8107865360762974
33,HINDZINC.NS,1394355601408.0,Basic Materials,-0.1361779391738504
34,HDFCLIFE.NS,1417974906880.0,Financial Services,1.2821479749604041
35,LTI.NS,1240289771520.0,Technology,-0.3547522013641041
36,VEDL.NS,1249722630144.0,Basic Materials,-0.8844339622641509
37,PIDILITIND.NS,1372308897792.0,Basic Materials,-0.3174427403429086
38,DIVISLAB.NS,1225564225536.0,Healthcare,3.3767745980563433
39,NTPC.NS,1312444252160.0,Utilities,2.654531664770573
40,SBILIFE.NS,1263953772544.0,Financial Services,2.806931901391262
41,ZOMATO.NS,1051617787904.0,Consumer Cyclical,2.6113671274961643
42,HINDALCO.NS,1129590947840.0,Basic Materials,2.7287482247920565
43,GRASIM.NS,1222636470272.0,Basic Materials,1.0033444816053536
44,IOC.NS,1160766029824.0,Energy,3.0075187969924766
45,M&M.NS,1095499055104.0,Consumer Cyclical,4.661797018825346
46,DABUR.NS,1017933725696.0,Consumer Defensive,-2.2576812086233353
47,NYKAA.NS,,Consumer Cyclical,2.602907078211875
48,GODREJCP.NS,946863734784.0,Consumer Defensive,-1.321089092959557
49,SHREECEM.NS,977009377280.0,Basic Materials,0.4950816569277157
50,DLF.NS,1033070706688.0,Real Estate,2.304203946562087
51,BAJAJ-AUTO.NS,993400782848.0,Consumer Cyclical,-0.06695583825797581
52,COALINDIA.NS,1015309795328.0,Energy,2.5202240199128885
53,SBICARD.NS,843074437120.0,Financial Services,-1.1718534077718104
54,HAVELLS.NS,842283548672.0,Industrials,-0.49940810890796095
55,BRITANNIA.NS,894114070528.0,Consumer Defensive,-1.4927155481251493
56,PAYTM.NS,725489287168.0,Technology,-3.4065886619748755
57,SIEMENS.NS,852747157504.0,Industrials,3.4519257771153344
58,BPCL.NS,864337723392.0,Energy,0.2263866180354615
59,DRREDDY.NS,777877389312.0,Healthcare,-0.20961683744587445
60,ICICIPRULI.NS,849582096384.0,Financial Services,0.23740885195861916
61,MINDTREE.NS,749611319296.0,Technology,-0.1821673525377269
62,INDIGO.NS,834111864832.0,Industrials,5.369568390832558
63,CIPLA.NS,748404473856.0,Healthcare,0.5784763152150135
