,Close,symbol,change_percent
0,"1,460.00",ACLBSL,3.18
1,424.70,ADBL,1.85
2,"1,001.00",ADBLD83,-0.40
3,545.00,AHPC,9.02
4,800.00,AIL,2.56
5,329.00,AKJCL,7.17
6,581.00,AKPL,7.39
7,"1,613.00",ALBSL,1.77
8,"1,044.00",ALICL,3.47
9,546.00,API,5.61
10,558.00,BARUN,6.29
11,"5,198.00",BBC,2.93
12,526.80,BFC,6.21
13,560.40,BNHC,9.99
14,"14,798.90",BNT,3.49
15,298.00,BOKL,4.52
16,450.00,BPCL,5.63
17,"1,359.00",CBBL,3.35
18,264.90,CBL,2.28
19,262.00,CCBL,3.03
20,506.00,CFCL,7.66
21,"1,460.00",CGH,4.66
22,532.00,CHCL,4.52
23,"1,017.00",CHDC,0.69
24,468.00,CHL,6.39
25,"3,439.00",CIT,3.87
26,"1,170.00",CLBSL,4.28
27,10.10,CMF1,1.00
28,10.68,CMF2,1.71
29,625.50,CORBL,3.90
30,297.40,CZBIL,3.26
31,"1,305.00",DDBL,3.16
32,325.00,DHPL,7.26
33,594.90,EBL,3.28
34,571.00,EDBL,5.74
35,738.00,EIC,3.94
36,457.00,EICPO,0.42
37,897.50,FMDBL,5.34
38,"2,170.00",FOWAD,2.55
39,617.50,GBBL,5.56
40,365.00,GBIME,2.96
41,"1,072.90",GBLBS,3.96
42,706.00,GFCL,6.01
43,345.90,GHL,6.76
44,675.00,GIC,3.21
45,"1,784.00",GILB,2.53
46,12.14,GIMES1,4.30
47,"1,408.00",GLBSL,2.47
48,491.60,GLH,6.87
49,702.60,GLICL,4.01
50,"1,399.00",GMFBS,0.87
51,490.00,GMFIL,6.75
52,390.00,GRDBL,6.27
53,810.00,GUFL,3.98
54,"1,100.00",GWFD83,0.00
55,352.00,HDHPC,8.31
56,"4,799.00",HDL,4.17
57,775.00,HGI,3.06
58,332.50,HIDCL,7.26
59,507.00,HPPL,7.87
60,525.00,HURJA,8.85
61,732.00,ICFC,6.09
62,"1,100.00",ICFCD83,0.82
63,"1,188.00",IGI,2.95
64,"1,442.00",ILBS,4.49
65,460.00,JBBL,7.48
66,"4,540.00",JBLB,2.65
67,701.00,JFL,6.37
68,724.90,JLI,0.82
69,332.00,JOSHI,6.75
70,"2,500.00",JSLBB,0.41
71,264.50,KBL,4.05
72,149.00,KBLPO,0.00
73,9.30,KEF,0.32
74,334.00,KKHC,6.37
75,"1,684.90",KLBSL,2.98
76,"1,349.00",KMCDB,0.45
77,538.00,KPCL,6.75
78,465.00,KRBL,8.14
79,550.00,KSBBL,7.63
80,542.00,LBBL,7.97
81,302.00,LBL,4.10
82,398.20,LEC,10.00
83,10.60,LEMF,1.44
84,809.00,LGIL,4.79
85,"2,355.00",LICN,2.79
86,"1,600.00",LLBS,1.27
87,10.40,LUK,1.96
88,461.00,MBJC,4.54
89,332.00,MBL,2.79
90,570.00,MDB,6.42
91,293.60,MEGA,3.89
92,120.00,MEGAPO,-1.64
93,"1,205.00",MEN,2.99
94,"1,229.00",MERO,4.42
95,100.00,MEROPO,0.00
96,743.50,MFIL,7.60
97,900.00,MFLD85,-3.23
98,524.00,MHNL,5.43
99,580.00,MKJC,-0.17
100,"1,506.00",MKLB,0.10
101,"1,773.90",MLBBL,4.22
102,545.00,MLBL,7.16
103,"1,550.00",MLBS,6.68
104,"3,998.00",MLBSL,6.90
105,9.17,MMF1,-1.93
106,"1,444.00",MMFDB,3.70
107,568.50,MNBBL,4.70
108,452.00,MPFL,4.39
109,"1,606.00",MSLB,1.39
110,591.20,NABBC,3.72
111,"1,135.00",NABIL,1.61
112,11.40,NBF2,1.60
113,9.82,NBF3,-0.61
114,376.10,NBL,3.61
115,280.00,NCCB,2.56
116,11.00,NEF,1.85
117,730.00,NFS,7.67
118,725.00,NGPL,7.41
119,514.00,NHDL,7.08
120,395.90,NHPC,7.06
121,10.65,NIBLPF,-0.93
122,9.45,NIBSF2,-1.36
123,883.00,NICA,2.72
124,11.36,NICBF,-0.53
125,12.40,NICGF,0.81
126,893.00,NICL,4.57
127,"1,249.20",NICLBSL,4.36
128,9.19,NICSF,-2.23
129,375.10,NIFRA,10.00
130,"1,309.00",NIL,2.91
131,"1,269.00",NLBBL,4.70
132,964.00,NLG,1.58
133,"1,713.00",NLIC,3.69
134,"1,154.00",NLICL,2.03
135,352.00,NMB,3.50
136,13.19,NMB50,2.97
137,11.90,NMBHF1,2.41
138,"1,135.00",NMBMF,6.95
139,"2,727.90",NMFBS,1.03
140,"1,261.00",NRIC,4.13
141,747.00,NRN,4.04
142,"1,483.00",NSLB,2.21
143,"1,520.00",NTC,4.12
144,"1,253.30",NUBL,3.16
145,505.00,NYADI,6.32
146,522.00,OHL,4.82
147,995.00,PBLD84,0.00
148,365.00,PCBL,3.40
149,620.00,PFL,6.00
150,"1,010.00",PIC,3.06
151,769.00,PICL,4.34
152,650.00,PLI,5.69
153,815.00,PLIC,4.35
154,390.00,PMHPL,5.72
155,535.00,PPCL,4.09
156,875.00,PRIN,2.34
157,411.90,PROFL,8.39
158,338.00,PRVU,3.36
159,9.44,PSF,0.43
160,729.80,RADHI,6.08
161,"18,300.00",RBCL,4.78
162,"16,387.80",RBCLPO,5.24
163,415.00,RHPL,5.87
164,524.00,RLFL,6.94
165,579.00,RLI,3.95
166,"1,247.00",RMDC,3.74
167,9.04,RMF1,-0.66
168,796.00,RSDC,4.05
169,"1,064.00",RURU,4.42
170,"1,500.00",SABSL,4.75
171,436.00,SADBL,7.23
172,226.00,SADBLP,0.00
173,14.08,SAEF,4.22
174,620.00,SAHAS,7.08
175,370.00,SANIMA,2.75
176,372.00,SAPDBL,7.79
177,9.16,SBCF,0.44
178,398.90,SBI,2.81
179,"1,000.00",SBIBD86,0.00
180,460.00,SBL,3.84
181,517.90,SCB,3.37
182,895.00,SDBD87,0.00
183,"1,379.90",SDLBSL,3.99
184,11.47,SEF,2.87
185,412.00,SFCL,7.01
186,12.32,SFMF,3.97
187,695.00,SGI,2.21
188,500.00,SHEL,4.17
189,452.00,SHINE,7.72
190,"1,528.00",SHIVM,1.87
191,228.00,SHL,5.07
192,450.00,SHPC,7.14
193,"1,350.00",SIC,3.29
194,"2,042.00",SICL,2.30
195,"1,065.00",SICLPO,0.00
196,488.70,SIFC,7.41
197,11.68,SIGS2,3.64
198,992.00,SIL,3.34
199,434.00,SINDU,7.69
200,413.00,SJCL,5.63
201,"1,384.00",SKBBL,3.59
202,"1,170.00",SLBBL,5.69
203,"1,342.00",SLBSL,4.76
204,9.30,SLCF,-1.90
205,580.10,SLI,3.77
206,819.00,SLICL,3.67
207,"1,250.00",SMATA,1.21
208,"1,936.00",SMB,1.31
209,"1,965.00",SMFBS,0.20
210,"1,280.00",SMFDB,4.40
211,693.00,SPC,5.00
212,493.00,SPDL,7.41
213,288.90,SRBL,2.77
214,987.60,SRBLD83,1.99
215,379.50,SSHL,10.00
216,"6,699.00",STC,5.61
217,"1,367.00",SWBBL,3.56
218,609.10,TPC,1.86
219,379.00,TRH,3.69
220,730.00,UIC,3.11
221,712.00,ULI,4.40
222,438.60,UMHL,7.76
223,622.00,UMRH,6.14
224,400.00,UNHPL,6.38
225,"19,050.00",UNL,0.26
226,413.00,UPCL,7.33
227,726.20,UPPER,4.79
228,"1,660.00",USLB,4.34
229,"1,375.00",VLBS,3.31
230,"1,472.00",WNLB,10.00
